deal_id,party_role,party_name,normalized_employer_alias
3783818020,acquirer,Intuit Inc,INTUIT INC
3783818020,target,The Rocket Science Group LLC,THE ROCKET SCIENCE GROUP LLC D B A MAILCHIMP
3741094020,acquirer,Clarivate PLC,CLARIVATE ANALYTICS US LLC
3741094020,acquirer,Clarivate PLC,CLARIVATE ANALYTICS COMPUMARK INC
3741094020,target,ProQuest LLC,PROQUEST LLC
3741094020,target,ProQuest LLC,PROQUEST
3847595020,acquirer,Oracle Corp,ORACLE AMERICA INC
3847595020,acquirer,Oracle Corp,ORACLE FINANCIAL SERVICES SOFTWARE INC
3847595020,acquirer,Oracle Corp,ORACLE TECHNICAL NETWORK INC
3847595020,acquirer,Oracle Corp,ORACLE ROBOTICS CORP
3847595020,target,Cerner Corp,CERNER CORPORATION
3847595020,target,Cerner Corp,ORACLE CERNER
3923067020,acquirer,Fastly Inc,FASTLY INC
3923067020,target,Glitch Inc,GLITCH INC
2647141020,acquirer,Microsoft Corp,MICROSOFT CORPORATION
2647141020,target,Nuance Communications Inc,NUANCE COMMUNICATIONS INC
2647141020,target,Nuance Communications Inc,NUANCE ENTERPRISE SOLUTIONS SERVICE CORP
3705005020,acquirer,Okta Inc,OKTA INC
3705005020,target,Auth0 Inc,AUTH0 INC
3968186020,acquirer,Roper Technologies Inc,ROPER TECHNOLOGIES INC
3968186020,target,Frontline Technologies Group,FRONTLINE TECHNOLOGIES GROUP LLC
3859429020,acquirer,Take-Two Interactive Software,TAKE TWO INTERACTIVE SOFTWARE
3859429020,acquirer,Take-Two Interactive Software,TAKE TWO INTERACTIVE SOFTWARE INC
3859429020,target,Zynga Inc,ZYNGA INC
3948517040,acquirer,Unity Software Inc,UNITY TECHNOLOGIES SF
3948517040,target,Ironsource Ltd,IRONSOURCE INC
3948517040,target,Ironsource Ltd,IRON SOURCE INC
3700303020,acquirer,Skyworks Solutions Inc,SKYWORKS SOLUTIONS INC
3700303020,target,Silicon Labs-Analog Chip Unit,SILICON LABORATORIES INC
