deal_id,passage_count,dominant_topic,topic_5787d58e,topic_1a765e60,topic_0036981e
3078525020,4,topic_0036981e,0.1344,0.1637,0.7019
3153170020,3,topic_0036981e,0.0,0.254,0.746
3201487020,3,topic_0036981e,0.062,0.0271,0.9109
3257183040,4,topic_0036981e,0.1114,0.2523,0.6363
3348911020,1,topic_0036981e,0.0,0.0,1.0
3623364020,2,topic_0036981e,0.0028,0.2139,0.7833
3701621020,4,topic_0036981e,0.0187,0.0137,0.9676
3727571020,3,topic_0036981e,0.0,0.0178,0.9822
3767523020,32,topic_5787d58e,0.5699,0.2669,0.1633
3769973020,2,topic_0036981e,0.0,0.0,1.0
3939905020,6,topic_0036981e,0.0185,0.0397,0.9418
3947466040,2,topic_0036981e,0.0,0.0,1.0
3984774040,6,topic_0036981e,0.025,0.0812,0.8938
