deal_id,acquirer_name,target_name,announcement_date,closing_date,transaction_form,deal_status,ai_category,ai_relevance_evidence,talent_motive,source_url,source_accession,source_document_id,source_quality,supporting_excerpt,verification_status,confidence,missingness_reason
2935321020,General Dynamics Corp,Bluefin Robotics Corp,2016-02-23,unknown,asset purchase,unclear,unknown,no_target_mention_in_retrieved_documents,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,no_target_mention_in_retrieved_documents
2988960020,Progressive AE,ai Design Group Inc,2016-07-27,unknown,statutory merger,unclear,unknown,acquirer_not_resolved_on_edgar,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,acquirer_not_resolved_on_edgar
3045947020,Boeing Co,Liquid Robotics Inc,2016-12-06,unknown,asset purchase,unclear,unknown,target_mentioned_without_local_ai_evidence,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,target_mentioned_without_local_ai_evidence
3075321020,TruClinic LLC,Overl.ai Inc,2017-02-28,unknown,asset purchase,unclear,unknown,acquirer_not_resolved_on_edgar,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,acquirer_not_resolved_on_edgar
3078525020,Alphabet Inc,Kaggle Inc,2017-03-08,unknown,asset purchase,unclear,ai_company_acquisition,machine learning,not_documented_in_reviewed_sources,https://blog.google/innovation-and-ai/infrastructure-and-cloud/google-cloud/100-announcements-google-cloud-next-17/,,supp_327ff1ecfdd9a623,official_company_announcement,"acquisitions to the Google Cloud family this week, Kaggle and AppBridge. 1 . Kaggle - Kaggle is one of the world's largest communities of data scientists and machine learning enthusiasts. Kaggle and Google Cloud will continue to support machine learning training and deployment services in addition to offering the community the ability to store and query large datasets. 2 . AppBridge - Google Cloud acquired Vancouver-based AppBri",qualifying_machine_verified_pending_human_review,medium,
3105608040,MTD Holdings Inc,F Robotics Acquisitions Ltd,2017-05-22,unknown,statutory merger,unclear,unknown,acquirer_not_resolved_on_edgar,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,acquirer_not_resolved_on_edgar
3108787020,Snap Inc,Ctrl Me Robotics LLC,2016-12-31,unknown,asset purchase,unclear,unknown,no_target_mention_in_retrieved_documents,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,no_target_mention_in_retrieved_documents
3115747040,General Electric Co,Oliver Crispin Robotics Ltd,2017-06-12,unknown,asset purchase,unclear,unknown,target_mentioned_without_local_ai_evidence,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,target_mentioned_without_local_ai_evidence
3118318020,Shareholders,Misty Robotics Inc,2017-06-20,unknown,stock/asset acquisition (unspecified),unclear,unknown,acquirer_not_resolved_on_edgar,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,acquirer_not_resolved_on_edgar
3141517020,Semcasting Inc,Transparency AI LLC,2017-08-23,unknown,asset purchase,unclear,unknown,acquirer_not_resolved_on_edgar,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,acquirer_not_resolved_on_edgar
3144306020,On the Move Systems Corp,Robotic Assistance Devices LLC,2017-08-31,unknown,statutory merger,unclear,unknown,acquirer_not_resolved_on_edgar,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,acquirer_not_resolved_on_edgar
3149903020,Dyno Nobel ASA,Honeybee Robotics Ltd,2017-07-06,unknown,asset purchase,unclear,unknown,acquirer_not_resolved_on_edgar,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,acquirer_not_resolved_on_edgar
3153170020,HubSpot Inc,Motion Ai Inc,2017-09-20,unknown,asset purchase,unclear,ai_company_acquisition,"\bai\b(?=[\s,-]*(?:platform|model|models|startup|company|software|technology|lab|labs|research|system|systems|capability|capabilities|assistant|agent|agents|product|products))",documented_team_join_language,https://www.hubspot.com/company-news/hubspot-acquires-motion-ai-one-of-the-top-visual-chatbot-builders,,supp_6bb6449c48074311,official_company_announcement,"d Nelson, founder and CEO of Motion AI. ""We're excited to be joining the HubSpot team, and can't wait to get to work on some really innovative AI tools."" The Motion AI technology will be incorporated into the HubSpot platform over the next several months, with the team working to create tools that help users automate important tasks, scale conversations, and proactively engage and acquire new customers.",qualifying_machine_verified_pending_human_review,medium,
3160146020,RideCell Inc,Auro Robotics Inc,2017-09-06,unknown,asset purchase,unclear,unknown,acquirer_not_resolved_on_edgar,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,acquirer_not_resolved_on_edgar
