occurrence_id,passage_id,deal_id,document_id,accession_number,document_type,document_family,source_url,heading,block_start,block_end,char_start,char_end,duplicate_group_id,content_sha256
occurrence_01a957ad45b248ea,passage_7f859f48f7729ac3,3947466040,supp_cedfc0619ce50a42,,official_company_announcement,official_announcement,https://newsroom.ibm.com/2022-07-06-IBM-Aims-to-Capture-Growing-Market-Opportunity-for-Data-Observability-with-Databand-ai-Acquisition,,45,45,5166,5679,duplicate_7f859f48f7729ac3,7f859f48f7729ac302152d831b049ec325543663483150cbc0ae5c56e9b0c29d
occurrence_08e1a2fdf71f094f,passage_6c4d292ed3b7acfd,3153170020,supp_6bb6449c48074311,,official_company_announcement,official_announcement,https://www.hubspot.com/company-news/hubspot-acquires-motion-ai-one-of-the-top-visual-chatbot-builders,,34,34,1700,2230,duplicate_6c4d292ed3b7acfd,6c4d292ed3b7acfdd98583b2784cf97b4a488dd81cd1e2c77ed551374e3f0f1d
occurrence_0a00c6cd73204856,passage_a25496ff66f1efd7,3767523020,supp_1850451931a95a19,,official_company_announcement,official_announcement,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,,1244,1244,43633,43720,duplicate_a25496ff66f1efd7,a25496ff66f1efd7d951cb77765e26f3681934bd3d6bea24beb005073bf0b70f
occurrence_0d5f9695ae5dfb30,passage_4204551be0436452,3939905020,supp_e28fecde52a19db4,,official_company_announcement,official_announcement,https://www.glia.com/news/glia-acquires-finn-ai,,10,10,698,781,duplicate_4204551be0436452,4204551be04364523a683a327bfcda9f555945f9f755925152745550966c6af6
occurrence_10ad3e455365c318,passage_949618066d7a7221,3767523020,supp_1850451931a95a19,,official_company_announcement,official_announcement,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,,1958,1958,66765,66866,duplicate_949618066d7a7221,949618066d7a72212c0f7475877d11580d8ca0de43253082d55087dc65fc9f97
occurrence_13182a688e260f42,passage_8b5ef75354ae837c,3939905020,supp_e28fecde52a19db4,,official_company_announcement,official_announcement,https://www.glia.com/news/glia-acquires-finn-ai,,34,34,5958,7468,duplicate_8b5ef75354ae837c,8b5ef75354ae837ca13e2fd38d20086c795388a09a13995096af4b0eb400e06a
occurrence_1a4e5c103cf92e58,passage_c0d85fc860dd084f,3984774040,supp_27bba806dccbb131,,primary_sec_filing,official_announcement,https://www.sec.gov/Archives/edgar/data/1745317/000119312522281315/d413040d425.htm,,134,134,27415,28260,duplicate_c0d85fc860dd084f,c0d85fc860dd084ff2c36fad09bc441f578ea6eaedec4d0bec055486b944cd9f
occurrence_1ab0538d8f0c4c82,passage_10e11e9997aaae70,3767523020,supp_1850451931a95a19,,official_company_announcement,official_announcement,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,,563,563,20076,20178,duplicate_10e11e9997aaae70,10e11e9997aaae7080b93ca390e78a95895f52df365b84c2be3ea0fe672cee22
occurrence_1c9e6304b9c6925f,passage_a97eade5682dd512,3701621020,supp_de9d737d2dd430ac,,official_company_announcement,official_announcement,https://www.algolia.com/blog/algolia/i-co-founded-the-ai-company-that-joined-algolia,,273,273,5957,6642,duplicate_a97eade5682dd512,a97eade5682dd5129b8a82ef1c23d1fb47c516b2f54bee4b968f3f3070efe312
occurrence_1d30664598eb4a28,passage_b7c15ff824bee49e,3701621020,supp_f27a205c0a017de2,,official_company_press_release_distributor,official_announcement,https://www.globenewswire.com/news-release/2021/01/26/2164201/0/en/Algolia-Acquires-MorphL-Launches-AI-Powered-Predictive-Experiences-and-Personalization.html,,57,57,3899,4320,duplicate_b7c15ff824bee49e,b7c15ff824bee49ea2c3cd646d31df22b0933c8c4fc993c14c3e5b4d2ab730fe
