passage_id,deal_id,document_family,token_count,count_positive,count_negative,count_hedging,count_modality,count_protection_program,count_retention,count_pay_wages,count_benefits,count_equity_vesting,count_termination_severance,count_employee_workforce,rate_positive_per100,rate_negative_per100,rate_hedging_per100,rate_modality_per100,rate_protection_program_per100,rate_retention_per100,rate_pay_wages_per100,rate_benefits_per100,rate_equity_vesting_per100,rate_termination_severance_per100,rate_employee_workforce_per100,raw_or_adjusted,rate_benefits_per100_adjusted,baseline_mean_benefits,baseline_fallback_benefits,rate_employee_workforce_per100_adjusted,baseline_mean_employee_workforce,baseline_fallback_employee_workforce,rate_equity_vesting_per100_adjusted,baseline_mean_equity_vesting,baseline_fallback_equity_vesting,rate_hedging_per100_adjusted,baseline_mean_hedging,baseline_fallback_hedging,rate_modality_per100_adjusted,baseline_mean_modality,baseline_fallback_modality,rate_negative_per100_adjusted,baseline_mean_negative,baseline_fallback_negative,rate_pay_wages_per100_adjusted,baseline_mean_pay_wages,baseline_fallback_pay_wages,rate_positive_per100_adjusted,baseline_mean_positive,baseline_fallback_positive,rate_protection_program_per100_adjusted,baseline_mean_protection_program,baseline_fallback_protection_program,rate_retention_per100_adjusted,baseline_mean_retention,baseline_fallback_retention,rate_termination_severance_per100_adjusted,baseline_mean_termination_severance,baseline_fallback_termination_severance
passage_04fd3d2318ca0670,3767523020,official_announcement,15,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.5338,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_07d2431212e14579,3767523020,official_announcement,2,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,46.4662,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_0bd8ffe0aeae67ab,3767523020,official_announcement,12,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3333,raw_and_baseline_adjusted,-0.0063,0.0063,0,4.7995,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_0ffe875ed0300f93,3767523020,official_announcement,11,1,0,0,0,0,0,0,0,0,0,0,9.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.5338,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,8.5388,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_10e11e9997aaae70,3767523020,official_announcement,13,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.5338,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_151a4a2dd3fbc967,3767523020,official_announcement,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.5338,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_1bc39d673735bfb8,3767523020,official_announcement,13,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6923,raw_and_baseline_adjusted,-0.0063,0.0063,0,4.1585,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_215c6c7df4fb7b17,3153170020,official_announcement,76,1,0,0,0,0,0,0,0,0,0,0,1.3158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.5338,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,0.7637,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_2370eb8b672cf483,3767523020,official_announcement,4,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,21.4662,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_243beb2712293a24,3939905020,official_announcement,220,1,0,0,3,0,0,0,0,0,0,0,0.4545,0.0,0.0,1.3636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.5338,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,1.1596,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.0976,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
