passage_id,deal_id,document_id,source_url,supporting_excerpt,dominant_topic,dominant_weight,topic_5787d58e,topic_1a765e60,topic_0036981e
passage_04fd3d2318ca0670,3767523020,supp_1850451931a95a19,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,Zebra Technologies Expands Partner Network to Empower Frontline Workers with AI in Emerging Indian Markets,topic_5787d58e,0.8787,0.8787,0.0,0.1213
passage_07d2431212e14579,3767523020,supp_1850451931a95a19,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,Workforce Optimization,topic_1a765e60,1.0,0.0,1.0,0.0
passage_0bd8ffe0aeae67ab,3767523020,supp_1850451931a95a19,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,Nucleus Research Names Zebra Workcloud Task and Workforce Management Solutions Enterprise Leaders,topic_1a765e60,0.9061,0.0939,0.9061,0.0
passage_0ffe875ed0300f93,3767523020,supp_1850451931a95a19,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,Zebra Technologies and Its Channel Partners Continue to Support Front-Line Workers,topic_5787d58e,1.0,1.0,0.0,0.0
passage_10e11e9997aaae70,3767523020,supp_1850451931a95a19,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,Zebra Technologies Empowers Frontline Workers with New DNA Software Platforms and AI-Powered Solutions,topic_5787d58e,0.8545,0.8545,0.0,0.1455
passage_151a4a2dd3fbc967,3767523020,supp_1850451931a95a19,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,Zebra Technologies Names Bill Burns as Next Chief Executive Officer,topic_5787d58e,0.6717,0.6717,0.0547,0.2736
passage_1bc39d673735bfb8,3767523020,supp_1850451931a95a19,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,Survey Says 95% of Bank Employees Prefer Managing Their Schedules with Mobile App,topic_0036981e,0.5844,0.4156,0.0,0.5844
passage_215c6c7df4fb7b17,3153170020,supp_6bb6449c48074311,https://www.hubspot.com/company-news/hubspot-acquires-motion-ai-one-of-the-top-visual-chatbot-builders,"""Motion AI was born out of the idea that anyone, regardless of their level of tech knowledge, should be able to build a chatbot. We believe that this aligns well with HubSpot's mission of creating technology that helps businesses address and adapt to the latest trends,"" said David Nelson, founder and CEO of Motion AI. ""We're excited to be joining the HubSpot team, and can't wait to get to work on some really innovative AI tools.""",topic_0036981e,0.9971,0.0,0.0029,0.9971
passage_2370eb8b672cf483,3767523020,supp_1850451931a95a19,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,Workcloud Workforce Optimization Suite,topic_1a765e60,0.9846,0.0,0.9846,0.0154
passage_243beb2712293a24,3939905020,supp_e28fecde52a19db4,https://www.glia.com/news/glia-acquires-finn-ai,"been able to achieve widespread adoption on their own,” said Dan Michaeli, co-founder and CEO of Glia. “Glia’s large and rapidly growing customer base , combined with solid financial backing to accelerate the pace of innovation, immediately brings that scale. Finn AI is a strong fit for Glia based on its technology, market approach and company culture. We are thrilled to welcome the Finn AI team to Glia,” Michaeli continued. It was apparent when Finn AI first launched its banking-focused virtual assistant for Glia’s DCS platform in 2020 that the two companies shared a vision. “Our vertical approach and tight integration with Glia helps financial institutions reduce the costs, extensive training and development time typically required for general AI platforms. Now as part of Glia, we will have the scale to deliver automation solutions to the market as part of a seamless Digital Customer Service platform that delivers the best of both self-service and human assistance when and where it is most convenient for customers. With our existing integration and satisfied joint customers, we will hit the ground running. This is an exciting next step in our journey and we couldn’t be happier to be a part of Glia” said Jake Tyler, co-founder and CEO of Finn AI. Glia will maintain and expand the presence in the Finn AI Canada office",topic_0036981e,1.0,0.0,0.0,1.0
passage_2958eb660ddb6681,3767523020,supp_1850451931a95a19,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,Sogegross Group Increases Front-Line Worker Productivity With Zebra Technologies,topic_5787d58e,1.0,1.0,0.0,0.0
passage_29a9ba25f48663f5,3767523020,supp_1850451931a95a19,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,Zebra's range of mobile computers equip your workforce with the devices they need from handhelds and tablets to wearables and vehicle-mounted computers.,topic_5787d58e,0.5151,0.5151,0.4849,0.0
passage_2cf3c77a8aa72614,3153170020,supp_6bb6449c48074311,https://www.hubspot.com/company-news/hubspot-acquires-motion-ai-one-of-the-top-visual-chatbot-builders,Management Team,topic_1a765e60,0.759,0.0,0.759,0.241
passage_2ffc7e5b56643e2b,3767523020,supp_1850451931a95a19,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,Zebra Recognized as a Leader in Nucleus Research 2025 Workforce Management Technology Value Matrix,topic_1a765e60,1.0,0.0,1.0,0.0
passage_3c8b0198869c1ac7,3767523020,supp_1850451931a95a19,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,Zebra Technologies to Showcase Solutions Designed to Empower Healthcare Workers at HIMSS 2025,topic_5787d58e,0.9762,0.9762,0.0238,0.0
passage_4204551be0436452,3939905020,supp_e28fecde52a19db4,https://www.glia.com/news/glia-acquires-finn-ai,Deposit Growth & Retention Win deposits and keep customers happy with fast service.,topic_0036981e,1.0,0.0,0.0,1.0
passage_46c26553e663b974,3984774040,supp_27bba806dccbb131,https://www.sec.gov/Archives/edgar/data/1745317/000119312522281315/d413040d425.htm,"Ouster, Velodyne and their respective directors, executive officers and certain employees and other persons may be deemed to be participants in the solicitation of proxies from the stockholders of Ouster and Velodyne in connection with the proposed transaction. Securityholders may obtain information regarding the names, affiliations and interests of Ouster’s directors and executive officers in Ouster’s Annual Report on Form 10-K for the fiscal year ended December 31, 2021, which was filed with the SEC on February 28, 2022, and its definitive proxy statement for the 2022 annual meeting of stockholders, which was filed with the SEC on April 27, 2022. Securityholders may obtain information regarding the names, affiliations and interests of Velodyne’s directors and executive officers in Velodyne’s definitive proxy statement for the 2022 annual meeting of stockholders, which was filed with the SEC on April 29, 2022. Additional information regarding the interests of such individuals in the proposed transaction will be included in the Joint Proxy Statement/Prospectus relating to the proposed transaction when it is filed with the SEC. These documents (when available) may be obtained free of charge from the SEC’s website at www.sec.gov, Ouster’s website at www.ouster.com and Velodyne’s website at www.velodynelidar.com.",topic_0036981e,0.8862,0.011,0.1028,0.8862
passage_47b20fe4d63ccae0,3257183040,supp_2d6e94103484791d,https://www.prnewswire.com/news-releases/leanplum-acquires-connecto-a-conversational-marketing-company-300668664.html,Personnel Announcements,topic_0036981e,1.0,0.0,0.0,1.0
passage_47c22e2904d71f3f,3348911020,supp_4b9aa9fc3ba3f604,https://sensory.com/news/sensory-acquires-vocalize-ai-for-speech-technology-testing-capabilities/,Founder & CEO,topic_0036981e,1.0,0.0,0.0,1.0
passage_4cc3d2a5e68feaff,3767523020,supp_1850451931a95a19,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,Zebra Named Leader In 2023 Nucleus Research Workforce Management Technology Value Matrix,topic_1a765e60,1.0,0.0,1.0,0.0
passage_56d4e1a500d9b445,3257183040,supp_2d6e94103484791d,https://www.prnewswire.com/news-releases/leanplum-acquires-connecto-a-conversational-marketing-company-300668664.html,"Emerging real-time interaction technologies like voice assistants and bots are championing a marketing shift from one-way broadcasts to two-way conversations,"" said Momchil Kyurkchiev, co-founder and CEO of Leanplum. ""Meaningful relationships between brands and their customers require real-time engagement, across multiple channels, and at different stages of the user journey — all in an automated fashion. With this acquisition, we are excited to strengthen Leanplum's leadership as the real-time engagement platform for forward-looking brands."" Connecto was founded by industry veterans Vassil Popovski (CEO), Radoslav Nikolov (CTO), and Vladimir Rusev (CRO). This acquisition will fuel innovation in AI, machine learning, natural language processing, and advanced algorithms across the Leanplum platform. ""Leanplum and Connecto share a common mission to help brands create lasting relationships with the context, relevance, and impact that customers demand,"" said Vassil Popovski , CEO at Connecto. ""After becoming a key player in Rakuten Viber's bot ecosystem and partnering with brands such as Coca-Cola and Visa, we are excited to integrate our extensive IP for Natural Language Processing and sentiment analysis into Leanplum's leading mobile engagement platform."" Leanplum is building the next generation marketing cloud , leveraging the unique power of mobile to help brands drive deep and meaningful customer relationships. Capturing more than 24 billion mobile data points daily and delivering over 50 million messages every hour, the Leanplum platform provides the",topic_0036981e,0.948,0.052,0.0,0.948
passage_57b4e08be826d747,3767523020,supp_1850451931a95a19,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,IKI Selects Reflexis Systems Intelligent Workforce Management to Optimize Labour Efficiency,topic_1a765e60,1.0,0.0,1.0,0.0
passage_5b9ea1ff628a1d67,3767523020,supp_1850451931a95a19,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,"Drive down costs while driving up employee, security, and network performance with software designed to enhance Zebra's wireless infrastructure and mobile solutions.",topic_5787d58e,0.6193,0.6193,0.0727,0.308
