deal_id,acquirer_name,target_name,announcement_date,effective_date,transaction_value_mil,target_public_status,probe_status,agreement_exhibit_types,target_name_hit,cik_confirmation_basis,documents_retrieved,included_passages,source_documents_with_passages,sample_status,sample_reason
3855473040,FiscalNote Holdings Inc,Aicel Technologies Inc,2021-12-29,2022-08-02,,,merger_proxy,,yes,machine_target_name_in_acquirer_filing,340,797,18,modelled,meets the prespecified yield gate
3839586020,CF Acquisition Corp VI,Rumble Inc,2021-12-02,2022-09-16,"3,150.00",Priv.,merger_proxy,,yes,machine_target_name_in_acquirer_filing,363,708,22,modelled,meets the prespecified yield gate
3791886040,ADTRAN Inc,ADVA Optical Networking SE,2021-08-30,2022-07-08,"1,026.046",,agreement_exhibit,EX-2.1; EX-2.2,yes,machine_target_name_in_acquirer_filing,216,534,7,modelled,meets the prespecified yield gate
3764848040,System1 LLC,Protected.Net Grp Ltd,2021-06-29,2022-01-27,,,merger_proxy,,yes,machine_target_name_in_acquirer_filing,256,492,12,modelled,meets the prespecified yield gate
3969906020,Ginkgo Bioworks Holdings Inc,Baktus Inc-Epidemiological,2022-08-19,2022-08-19,,Sub.,merger_proxy,,no,machine_form_and_window_only,227,476,4,modelled,meets the prespecified yield gate
3859429020,Take-Two Interactive Software,Zynga Inc,2022-01-10,2022-05-23,"12,382.165",Public,agreement_exhibit,EX-2.2,yes,machine_target_name_in_acquirer_filing,174,418,10,modelled,meets the prespecified yield gate
3646001020,Advanced Micro Devices Inc,Xilinx Inc,2020-10-27,2022-02-14,"35,728.81",Public,merger_proxy,,yes,machine_target_name_in_acquirer_filing,523,403,10,modelled,meets the prespecified yield gate
3846599020,Entegris Inc,CMC Materials Inc,2021-12-15,2022-07-06,"5,729.282",Public,merger_proxy,,yes,machine_target_name_in_acquirer_filing,314,314,11,modelled,meets the prespecified yield gate
3703763020,Advent Technologies Holdings,Ultracell LLC,2021-02-18,2021-02-18,,Sub.,merger_proxy,,no,machine_form_and_window_only,66,308,9,modelled,meets the prespecified yield gate
3682911020,Teledyne Technologies Inc,FLIR Systems Inc,2021-01-04,2021-05-14,"7,500.665",Public,merger_proxy,,yes,machine_target_name_in_acquirer_filing,204,287,12,modelled,meets the prespecified yield gate
