deal_id,acquirer_name,target_name,announcement_date,effective_date,transaction_value_mil,target_public_status,included_passages,documents_retrieved,topic_1_share,topic_2_share,topic_3_share,dominant_topic,dominant_topic_label,dominant_share,dominant_margin,concentration_hhi,theme_profile,ai_label,talent_join_language,talent_acquihire_explicit,talent_license_and_hire_explicit
3480790020,Roper Technologies Inc,Vertafore Inc,2020-08-13,2020-09-03,"5,350.00",Sub.,59,46,0.200556,0.638928,0.160517,topic_2,benefit_plans_and_retirement,0.638928,0.438372,0.474217,benefit_plans_and_retirement,none,no,no,no
3515714020,1-800-Flowers.com Inc,PersonalizationMall.com Inc,2020-02-18,2020-08-03,245.00,Sub.,53,36,0.153281,0.769165,0.077554,topic_2,benefit_plans_and_retirement,0.769165,0.615884,0.621125,benefit_plans_and_retirement,none,no,no,no
3517450020,Intuit Inc,Credit Karma Inc,2020-02-24,2020-12-03,"7,100.00",Priv.,220,125,0.282090,0.304170,0.413740,topic_3,stock_and_equity_awards,0.413740,0.109569,0.343275,stock_and_equity_awards,none,no,no,no
3519983020,DocuSign Inc,Seal Software Ltd,2020-02-27,2020-05-01,188.00,Priv.,93,47,0.091616,0.635674,0.272711,topic_2,benefit_plans_and_retirement,0.635674,0.362963,0.486845,benefit_plans_and_retirement,ai_explicit,no,no,no
3521692020,CleanSpark Inc,P2klabs Inc,2020-02-06,2020-02-06,,Priv.,20,40,0.410954,0.407334,0.181713,topic_1,executive_and_officer,0.410954,0.003620,0.367823,mixed,none,yes,no,no
3523484020,Intellinetics Inc,Graphic Sciences Inc,2020-03-04,2020-03-04,3.50,Priv.,34,61,0.184642,0.779551,0.035807,topic_2,benefit_plans_and_retirement,0.779551,0.594910,0.643075,benefit_plans_and_retirement,none,no,no,no
3525025040,Xerox Holdings Corp,Digitex Canada Inc,2020-03-06,2020-03-06,,,68,84,0.378774,0.239458,0.381768,topic_3,stock_and_equity_awards,0.381768,0.002994,0.346557,mixed,none,no,no,no
3545651040,Simulations Plus Inc,Lixoft SAS,2020-03-31,2020-04-01,16.499,,28,36,0.252749,0.642955,0.104295,topic_2,benefit_plans_and_retirement,0.642955,0.390206,0.488151,benefit_plans_and_retirement,none,yes,no,no
3567824020,Rapid7 Inc,Divvy Cloud Corp,2020-04-24,2020-05-01,145.00,Priv.,46,41,0.084522,0.593904,0.321573,topic_2,benefit_plans_and_retirement,0.593904,0.272331,0.463276,benefit_plans_and_retirement,none,yes,no,no
3575962020,Flotek Industries Inc,JP3 Measurement LLC,2020-05-18,2020-05-18,42.80,Priv.,94,156,0.180774,0.661270,0.157956,topic_2,benefit_plans_and_retirement,0.661270,0.480496,0.494907,benefit_plans_and_retirement,none,yes,no,no
3586998020,BIO-key International Inc,PistolStar Inc,2020-06-10,2020-07-28,2.50,Priv.,19,39,0.082137,0.864772,0.053091,topic_2,benefit_plans_and_retirement,0.864772,0.782634,0.757395,benefit_plans_and_retirement,none,no,no,no
3595648020,Uber Technologies Inc,Postmates Inc,2020-07-06,2020-12-01,"2,650.00",Priv.,205,181,0.298761,0.324635,0.376603,topic_3,stock_and_equity_awards,0.376603,0.051968,0.336476,mixed,none,no,no,no
3600947020,Analog Devices Inc,Maxim Integrated Products Inc,2020-07-13,2021-08-26,"21,290.859",Public,223,255,0.273620,0.338578,0.387802,topic_3,stock_and_equity_awards,0.387802,0.049223,0.339893,mixed,none,no,no,no
3601404020,Hewlett Packard Enterprise Co,Silver Peak Systems Inc,2020-07-13,2020-09-21,925.00,Priv.,118,77,0.107637,0.490822,0.401541,topic_2,benefit_plans_and_retirement,0.490822,0.089281,0.413727,mixed,ai_explicit,yes,no,no
3601877020,Asure Software Inc,PTM Inc-Certain Assets,2020-07-01,2020-07-01,4.25,Sub.,45,11,0.181653,0.741397,0.076949,topic_2,benefit_plans_and_retirement,0.741397,0.559744,0.588589,benefit_plans_and_retirement,none,no,no,no
3617548020,Teladoc Health Inc,Livongo Health Inc,2020-08-05,2020-10-30,"17,539.058",Public,226,178,0.284943,0.311514,0.403544,topic_3,stock_and_equity_awards,0.403544,0.092030,0.341081,mixed,none,no,no,no
3618415020,Intercontinental Exchange Inc,Ellie Mae Inc,2020-08-06,2020-09-04,"10,980.88",Sub.,72,98,0.183881,0.721980,0.094139,topic_2,benefit_plans_and_retirement,0.721980,0.538099,0.563930,benefit_plans_and_retirement,ai_explicit,no,no,no
3620234020,Cerberus Cyber Sentinel Corp,Technologyville Inc,2020-05-25,2020-08-11,6.954,Priv.,12,24,0.046244,0.888814,0.064942,topic_2,benefit_plans_and_retirement,0.888814,0.823871,0.796346,benefit_plans_and_retirement,none,no,no,no
3622082020,Omnicell Inc,Pharm Strategies Grp-Business,2020-08-12,2020-10-02,225.00,Sub.,98,85,0.147160,0.780193,0.072646,topic_2,benefit_plans_and_retirement,0.780193,0.633033,0.635635,benefit_plans_and_retirement,none,no,no,no
